observation_date,port_id,port_name,port_category,total_cargo_mt,total_cargo_tonnes,container_traffic_teu,overseas_loaded_cargo_tonnes,overseas_unloaded_cargo_tonnes,vessel_traffic_count,output_per_ship_berth_day_tonnes,turnaround_time_hours,berth_utilization_percent,source,source_url,license_status,retrieval_timestamp,dataset_version
2021-04-01,india-paradip,Paradip Port,Major Port - East Coast,11.016,11016000,4160,3084480,7931520,188,30500.0,46.0,78.0,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-04-01T10:00:00Z,v1.0-india-mopsw
2021-04-01,india-visakhapatnam,Visakhapatnam Port,Major Port - East Coast,6.324,6324000,49920,2023680,4300320,193,21000.0,56.0,72.0,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-04-01T10:00:00Z,v1.0-india-mopsw
2021-04-01,india-kamarajar,Kamarajar Port (Ennore),Major Port - East Coast,3.468,3468000,43680,762960,2705040,107,26500.0,44.0,68.0,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-04-01T10:00:00Z,v1.0-india-mopsw
2021-04-01,india-chennai,Chennai Port,Major Port - East Coast,4.182,4182000,126880,1589160,2592840,158,18000.0,52.0,66.0,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-04-01T10:00:00Z,v1.0-india-mopsw
2021-04-01,india-vocpt,V.O. Chidambaranar Port (Tuticorin),Major Port - East Coast,3.264,3264000,64480,979200,2284800,127,16500.0,48.0,69.0,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-04-01T10:00:00Z,v1.0-india-mopsw
2021-04-01,india-kolkata-haldia,Syama Prasad Mookerjee Port (Kolkata/Haldia),Major Port - East Coast,5.202,5202000,54080,1352520,3849480,280,11400.0,78.0,75.0,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-04-01T10:00:00Z,v1.0-india-mopsw
2021-05-01,india-paradip,Paradip Port,Major Port - East Coast,11.495,11495000,4157,3218600,8276400,189,30654.0,46.5,79.4,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-05-01T10:00:00Z,v1.0-india-mopsw
2021-05-01,india-visakhapatnam,Visakhapatnam Port,Major Port - East Coast,6.596,6596000,49933,2110720,4485280,194,21130.0,56.5,73.4,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-05-01T10:00:00Z,v1.0-india-mopsw
2021-05-01,india-kamarajar,Kamarajar Port (Ennore),Major Port - East Coast,3.625,3625000,43764,797500,2827500,107,26644.0,44.5,69.4,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-05-01T10:00:00Z,v1.0-india-mopsw
2021-05-01,india-chennai,Chennai Port,Major Port - East Coast,4.358,4358000,126703,1656040,2701960,158,18123.0,52.5,67.4,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-05-01T10:00:00Z,v1.0-india-mopsw
2021-05-01,india-vocpt,V.O. Chidambaranar Port (Tuticorin),Major Port - East Coast,3.404,3404000,64443,1021200,2382800,127,16619.0,48.5,70.4,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-05-01T10:00:00Z,v1.0-india-mopsw
2021-05-01,india-kolkata-haldia,Syama Prasad Mookerjee Port (Kolkata/Haldia),Major Port - East Coast,5.424,5424000,54004,1410240,4013760,280,11506.0,78.5,76.4,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-05-01T10:00:00Z,v1.0-india-mopsw
2021-06-01,india-paradip,Paradip Port,Major Port - East Coast,10.928,10928000,4120,3059840,7868160,174,30796.0,47.0,80.5,"Indian Ports Association (IPA) / Ministry of Ports, Shipping and Waterways",https://ipa.nic.in/,Government of India Open Data License (NDSAP),2021-06-01T10:00:00Z,v1.0-india-mopsw
