fiscal_year,port_id,port_name,commodity,trade_flow,volume,unit,source,source_url,license_status
2023-24,india-paradip,Paradip Port,Iron Ore & Pellets,Export / Loaded,18.5,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-paradip,Paradip Port,Thermal & Coking Coal,Import & Coastal,68.2,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-paradip,Paradip Port,POL & Crude Oil,Import / Unloaded,34.1,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-paradip,Paradip Port,Fertilizer & Raw Materials,Import / Unloaded,4.8,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-paradip,Paradip Port,Other Dry / Break Bulk,Import & Export,19.7,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-visakhapatnam,Visakhapatnam Port,POL & Liquid Bulk,Import / Unloaded,24.5,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-visakhapatnam,Visakhapatnam Port,Iron Ore,Export / Loaded,16.2,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-visakhapatnam,Visakhapatnam Port,Coking & Steam Coal,Import / Unloaded,18.8,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-visakhapatnam,Visakhapatnam Port,Containerized Cargo,Import & Export,10.4,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-visakhapatnam,Visakhapatnam Port,Fertilizers & General,Import / Unloaded,11.1,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-kamarajar,Kamarajar Port (Ennore),Thermal Coal (TANGEDCO),Coastal / Unloaded,26.8,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-kamarajar,Kamarajar Port (Ennore),POL & Chemicals,Import / Unloaded,6.2,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-kamarajar,Kamarajar Port (Ennore),Automobiles (RoRo),Export / Loaded,1.8,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-kamarajar,Kamarajar Port (Ennore),Container Cargo,Import & Export,8.9,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-kamarajar,Kamarajar Port (Ennore),Other Bulk,Import / Unloaded,4.5,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-chennai,Chennai Port,Container Cargo,Import & Export,31.4,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-chennai,Chennai Port,Liquid Bulk / POL,Import / Unloaded,13.6,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-chennai,Chennai Port,Automobiles & Machinery,Export / Loaded,3.2,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-chennai,Chennai Port,Fertilizers & Dry Bulk,Import / Unloaded,5.6,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-vocpt,V.O. Chidambaranar Port,Thermal Coal,Coastal / Unloaded,16.4,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-vocpt,V.O. Chidambaranar Port,Container Cargo,Import & Export,11.8,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-vocpt,V.O. Chidambaranar Port,Limestone & Rock Phosphate,Import / Unloaded,5.2,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-vocpt,V.O. Chidambaranar Port,General Cargo & Timber,Import & Export,8.1,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-kolkata-haldia,Syama Prasad Mookerjee Port,Coking Coal & Metallurgical Coke,Import / Unloaded,23.5,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-kolkata-haldia,Syama Prasad Mookerjee Port,POL & LPG,Import / Unloaded,15.2,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-kolkata-haldia,Syama Prasad Mookerjee Port,Container Cargo (Nepal/Bhutan Gateway),Import & Export,12.8,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-kolkata-haldia,Syama Prasad Mookerjee Port,Iron & Steel Products,Export / Loaded,5.8,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
2023-24,india-kolkata-haldia,Syama Prasad Mookerjee Port,Other Dry Bulk & Chemicals,Import / Unloaded,8.7,Million Tonnes,Government of India Open Data Platform (data.gov.in) / MoPSW TRD,https://punjab.data.gov.in/catalog/overseas-cargo-principal-commodities-unloaded-and-loaded-country-major-ports,Government of India Open Data License (NDSAP)
