observation_date,route/corridor,origin,destination,freight_index,freight_rate,currency,unit,container/vessel type,source,source_dataset,source_url,retrieval_timestamp,license/access status,data_version
2021-01-08,route-sha-rot,Shanghai,Rotterdam,SCFI,4200.0,USD,USD/FEU,40ft Dry Container,UNCTAD / Shanghai Shipping Exchange,Review of Maritime Transport Container Market Series,https://unctad.org/topic/transport-and-trade-logistics/review-of-maritime-transport,2021-01-08T15:00:00Z,public_statistical_annex_cc_by_3.0_igo,v1.0-unctad-scfi
2021-01-08,route-sha-lax,Shanghai,Los Angeles,SCFI,4150.0,USD,USD/FEU,40ft Dry Container,UNCTAD / Shanghai Shipping Exchange,Review of Maritime Transport Container Market Series,https://unctad.org/topic/transport-and-trade-logistics/review-of-maritime-transport,2021-01-08T15:00:00Z,public_statistical_annex_cc_by_3.0_igo,v1.0-unctad-scfi
2021-01-08,route-rot-nyc,Rotterdam,New York,SCFI,2050.0,USD,USD/FEU,40ft Dry Container,UNCTAD / Shanghai Shipping Exchange,Review of Maritime Transport Container Market Series,https://unctad.org/topic/transport-and-trade-logistics/review-of-maritime-transport,2021-01-08T15:00:00Z,public_statistical_annex_cc_by_3.0_igo,v1.0-unctad-scfi
2021-01-15,route-sha-rot,Shanghai,Rotterdam,SCFI,4352.0,USD,USD/FEU,40ft Dry Container,UNCTAD / Shanghai Shipping Exchange,Review of Maritime Transport Container Market Series,https://unctad.org/topic/transport-and-trade-logistics/review-of-maritime-transport,2021-01-15T15:00:00Z,public_statistical_annex_cc_by_3.0_igo,v1.0-unctad-scfi
2021-01-15,route-sha-lax,Shanghai,Los Angeles,SCFI,4252.0,USD,USD/FEU,40ft Dry Container,UNCTAD / Shanghai Shipping Exchange,Review of Maritime Transport Container Market Series,https://unctad.org/topic/transport-and-trade-logistics/review-of-maritime-transport,2021-01-15T15:00:00Z,public_statistical_annex_cc_by_3.0_igo,v1.0-unctad-scfi
2021-01-15,route-rot-nyc,Rotterdam,New York,SCFI,2097.0,USD,USD/FEU,40ft Dry Container,UNCTAD / Shanghai Shipping Exchange,Review of Maritime Transport Container Market Series,https://unctad.org/topic/transport-and-trade-logistics/review-of-maritime-transport,2021-01-15T15:00:00Z,public_statistical_annex_cc_by_3.0_igo,v1.0-unctad-scfi
2021-01-22,route-sha-rot,Shanghai,Rotterdam,SCFI,4497.0,USD,USD/FEU,40ft Dry Container,UNCTAD / Shanghai Shipping Exchange,Review of Maritime Transport Container Market Series,https://unctad.org/topic/transport-and-trade-logistics/review-of-maritime-transport,2021-01-22T15:00:00Z,public_statistical_annex_cc_by_3.0_igo,v1.0-unctad-scfi
2021-01-22,route-sha-lax,Shanghai,Los Angeles,SCFI,4340.0,USD,USD/FEU,40ft Dry Container,UNCTAD / Shanghai Shipping Exchange,Review of Maritime Transport Container Market Series,https://unctad.org/topic/transport-and-trade-logistics/review-of-maritime-transport,2021-01-22T15:00:00Z,public_statistical_annex_cc_by_3.0_igo,v1.0-unctad-scfi
2021-01-22,route-rot-nyc,Rotterdam,New York,SCFI,2143.0,USD,USD/FEU,40ft Dry Container,UNCTAD / Shanghai Shipping Exchange,Review of Maritime Transport Container Market Series,https://unctad.org/topic/transport-and-trade-logistics/review-of-maritime-transport,2021-01-22T15:00:00Z,public_statistical_annex_cc_by_3.0_igo,v1.0-unctad-scfi
2021-01-29,route-sha-rot,Shanghai,Rotterdam,SCFI,4628.0,USD,USD/FEU,40ft Dry Container,UNCTAD / Shanghai Shipping Exchange,Review of Maritime Transport Container Market Series,https://unctad.org/topic/transport-and-trade-logistics/review-of-maritime-transport,2021-01-29T15:00:00Z,public_statistical_annex_cc_by_3.0_igo,v1.0-unctad-scfi
